FreesoundID,ClusterID,Filename,Kurzbeschreibung,Cluster
110011,-,0-110011.mp3,Ausgedehntes Miauen einer Katze,1 - Katze
2155,-,0-2155.mp3,Zischen eines undichten Hydranten ,2 - Hydrant
22362,-,0-22362.mp3,Quietschende Tür (erst d'''/dis''' - dann e'''),3 - Tür
240015,-,0-240015.mp3,Zweimaliges Quietschen von Gummispielzeug (c'''-dis'''),4 - Spielzeug
264498,-,0-264498.mp3,Gleichmäßiges Ticken einer Uhr,5 - Uhr
325462,-,0-325462.mp3,Synthetisches und schnell abgespieltes Lachen,6 - Lachen
337791,-,0-337791.mp3,Gleichmäßiges Rauschen von Regen,7 - Regen
50802,-,0-50802.mp3,Synthetisches tiefes und einmaliges gehauchtes Grollen,8 - Grollen
5560,-,0-5560.mp3,Feuerwerk mit mehrfachen Explosionen und Raketen,9 - Feuerwerk
82402,-,0-82402.mp3,Mehrere sehr hohe Schreie eines Mädchens (d''''),10 - Schrei
256452,110011,110011-0.98-256452.mp3,Katze (ohne wahrnehmbaren Unterschied zu 110011),1 - Katze
62213,110011,110011-1.11-62213.mp3,Katze (ähnlich 62215 und 62216 und 62209),1 - Katze
315829,110011,110011-1.39-315829.mp3,Quängelndes Kind,1 - Katze
62216,110011,110011-1.39-62216.mp3,Katze (ähnlich 62215 und  62213 und 62209),1 - Katze
156643,110011,110011-1.40-156643.mp3,Katze (eher tief und meckernd),1 - Katze
344872,110011,110011-1.41-344872.mp3,Synthetische Klänge ähnlich verzerrter E-Gitarre,1 - Katze
62209,110011,110011-1.41-62209.mp3,Katze (ähnlich 62216 und  62213 und 62215),1 - Katze
41251,110011,110011-1.42-41251.mp3,Szene mit Lautsprecher und Menschenstimmen,1 - Katze
169206,110011,110011-1.43-169206.mp3,Synthetische Frauenstimme ('Activating alarm system'),1 - Katze
62215,110011,110011-1.43-62215.mp3,Katze (ähnlich 62216 und  62213 und 62209),1 - Katze
315834,110011,110011-1.45-315834.mp3,Quängelnde Kinder,1 - Katze
339894,110011,110011-1.45-339894.mp3,Szene Flugzeugdurchsagen,1 - Katze
202192,110011,110011-1.48-202192.mp3,Wiederholte Lautsprecherdurchsagen,1 - Katze
133542,110011,110011-1.49-133542.mp3,Synthetischer Klang  mit Glissando,1 - Katze
140391,2155,2155-0.54-140391.mp3,Laufendes Wasser in Dusche,2 - Hydrant
165116,2155,2155-0.60-165116.mp3,Brutzelndes Fett in Pfanne,2 - Hydrant
135003,2155,2155-0.61-135003.mp3,Laufendes Wasser,2 - Hydrant
190936,2155,2155-0.65-190936.mp3,Zischen beim Kochen von Wasser im Teekessel,2 - Hydrant
327542,2155,2155-0.65-327542.mp3,Fahrradkette im Leerlauf,2 - Hydrant
329045,2155,2155-0.65-329045.mp3,Abbrennender Docht einer Bombe,2 - Hydrant
167206,2155,2155-0.66-167206.mp3,Regen,2 - Hydrant
210827,2155,2155-0.66-210827.mp3,In Abwasserkanal strömender Regen,2 - Hydrant
326445,2155,2155-0.66-326445.mp3,Regen,2 - Hydrant
321444,2155,2155-0.67-321444.mp3,Zirpen von Grillen,2 - Hydrant
70626,2155,2155-0.67-70626.mp3,Beatbox Hi-Hat,2 - Hydrant
201635,2155,2155-0.69-201635.mp3,Schleifendes Geräusch,2 - Hydrant
202529,2155,2155-0.69-202529.mp3,Laufender Wasserhahn,2 - Hydrant
241318,2155,2155-0.69-241318.mp3,Verrauschtes Lagerfeuer,2 - Hydrant
174067,22362,22362-1.11-174067.mp3,Mehrfach quietschende Tür (immer wieder dis'''- gis') ,3 - Tür
247658,22362,22362-1.13-247658.mp3,Geige (dis'''),3 - Tür
248927,22362,22362-1.15-248927.mp3,Klarinette (e'''/f'''),3 - Tür
249016,22362,22362-1.15-249016.mp3,Klarinette (e'''),3 - Tür
247842,22362,22362-1.16-247842.mp3,Geige (dis'''),3 - Tür
250953,22362,22362-1.16-250953.mp3,Geige (dis'''),3 - Tür
249015,22362,22362-1.19-249015.mp3,Klarinette (dis'''),3 - Tür
248926,22362,22362-1.22-248926.mp3,Klarinette (dis'''),3 - Tür
69552,22362,22362-1.27-69552.mp3,Nacheinander angeschlagene Gläser (f''-e''-g''-dis'') ,3 - Tür
247459,22362,22362-1.28-247459.mp3,Geige (dis'''),3 - Tür
248609,22362,22362-1.29-248609.mp3,Klarinette (d'''/dis''),3 - Tür
247456,22362,22362-1.30-247456.mp3,Geige (d'''),3 - Tür
247731,22362,22362-1.30-247731.mp3,Geige (dis'''),3 - Tür
247880,22362,22362-1.30-247880.mp3,Geige (dis'''),3 - Tür
266319,240015,240015-1.51-266319.mp3,Quietschende Tür (mehrere Töne um d''' herum),4 - Spielzeug
334805,240015,240015-1.59-334805.mp3,Synthetische Töne,4 - Spielzeug
124716,240015,240015-1.63-124716.mp3,Schnelles Trommeln auf Metallbüchsen,4 - Spielzeug
118560,240015,240015-1.66-118560.mp3,Klopfen gegen Glas (d'''/dis'''),4 - Spielzeug
278141,240015,240015-1.71-278141.mp3,Synthetische Frauenstimme ('sugoisugoi'),4 - Spielzeug
118561,240015,240015-1.74-118561.mp3,Ohne Wahrnehmbaren Unterschied zu 118560,4 - Spielzeug
181679,240015,240015-1.74-181679.mp3,Synthetischer Klang - Messerwurf,4 - Spielzeug
296486,240015,240015-1.75-296486.mp3,Synthetische Klänge ,4 - Spielzeug
245193,240015,240015-1.76-245193.mp3,Quietschen beim Wischen über Glasplatte,4 - Spielzeug
216994,240015,240015-1.77-216994.mp3,Synthetischer Ton -  kurzes Bellen,4 - Spielzeug
223676,240015,240015-1.77-223676.mp3,Loop mit verschiedenen Perkussionsinstrumenten,4 - Spielzeug
254755,240015,240015-1.77-254755.mp3,Trommeln gegen Keramikglocke,4 - Spielzeug
70377,240015,240015-1.77-70377.mp3,Quietschende Tür (Glissando c'''-a''),4 - Spielzeug
210178,240015,240015-1.78-210178.mp3,Mehrmaliges Zupfen von Harfe (a''),4 - Spielzeug
125319,264498,264498-0.63-125319.mp3,Rhythmisches Surren von Kamera Winder,5 - Uhr
174604,264498,264498-0.71-174604.mp3,Blindenstock auf verschiedenen Untergründen,5 - Uhr
174252,264498,264498-0.75-174252.mp3,Rhythmisches Schnipsen (ähnlich 174251),5 - Uhr
240280,264498,264498-0.76-240280.mp3,Tippen auf Tastatur,5 - Uhr
174353,264498,264498-0.77-174353.mp3,Rhythmisches Schnipsen (ähnlich 174148),5 - Uhr
185045,264498,264498-0.77-185045.mp3,Münzen beim Einwurf in Automat,5 - Uhr
264456,264498,264498-0.77-264456.mp3,Knistern mit Alufolie,5 - Uhr
174251,264498,264498-0.78-174251.mp3,Rhythmisches Schnipsen (ähnlich 174252),5 - Uhr
186134,264498,264498-0.79-186134.mp3,Tippen auf Tastatur,5 - Uhr
30608,264498,264498-0.79-30608.mp3,Tickende Uhr,5 - Uhr
174148,264498,264498-0.80-174148.mp3,Rhythmisches Schnipsen (ähnlich 17353),5 - Uhr
179385,264498,264498-0.80-179385.mp3,Tippen auf Tastatur,5 - Uhr
248045,264498,264498-0.80-248045.mp3,Umblättern von Seiten,5 - Uhr
344633,264498,264498-0.80-344633.mp3,Einsortieren von Gabeln in Behälter,5 - Uhr
344039,325462,325462-1.45-344039.mp3,Jammerndes Kind,6 - Lachen
251489,325462,325462-1.53-251489.mp3,Husten,6 - Lachen
40728,325462,325462-1.57-40728.mp3,Synthetisches musikalisches Pattern,6 - Lachen
37241,325462,325462-1.58-37241.mp3,Mehrmaliges Lachen von Frau,6 - Lachen
89467,325462,325462-1.59-89467.mp3,Schnell abgespieltes Lachen oder Stimme,6 - Lachen
200837,325462,325462-1.62-200837.mp3,Synthetisches musikalisches Pattern,6 - Lachen
119450,325462,325462-1.64-119450.mp3,Kichern,6 - Lachen
316793,325462,325462-1.64-316793.mp3,Synthetische Loop,6 - Lachen
319346,325462,325462-1.64-319346.mp3,Lachen von Frau,6 - Lachen
4237,325462,325462-1.64-4237.mp3,Mehrmaliges Lachen von Kind,6 - Lachen
55209,325462,325462-1.65-55209.mp3,Mehrmaliges Lachen von Kind,6 - Lachen
7285,325462,325462-1.65-7285.mp3,Synthetische Jingle,6 - Lachen
19158,325462,325462-1.66-19158.mp3,Lachen von Mann,6 - Lachen
45129,325462,325462-1.66-45129.mp3,Lachen von Kind,6 - Lachen
213012,337791,337791-0.42-213012.mp3,Regen,7 - Regen
326441,337791,337791-0.48-326441.mp3,Regen,7 - Regen
79367,337791,337791-0.48-79367.mp3,Springbrunnen,7 - Regen
197202,337791,337791-0.51-197202.mp3,Rauschen,7 - Regen
110612,337791,337791-0.52-110612.mp3,Regen,7 - Regen
130231,337791,337791-0.53-130231.mp3,Wasserfall,7 - Regen
191876,337791,337791-0.54-191876.mp3,Fluss,7 - Regen
80834,337791,337791-0.55-80834.mp3,Wasserfall,7 - Regen
44695,337791,337791-0.57-44695.mp3,Rauschen,7 - Regen
44734,337791,337791-0.57-44734.mp3,Kurzer Störsound,7 - Regen
209650,337791,337791-0.58-209650.mp3,Synthetischer Klang -  ähnlich Inlineskates,7 - Regen
93985,337791,337791-0.58-93985.mp3,Springbrunnen,7 - Regen
163615,337791,337791-0.59-163615.mp3,Meer Brandung,7 - Regen
276928,337791,337791-0.59-276928.mp3,Regen,7 - Regen
66574,50802,50802-0.79-66574.mp3,Tiefes Grollen,8 - Grollen
167277,50802,50802-0.80-167277.mp3,Lange Szene -  Gruselstimmung ,8 - Grollen
156091,50802,50802-0.82-156091.mp3,Kurze Verkehrsszene,8 - Grollen
170989,50802,50802-0.82-170989.mp3,Lange düstere Atmosphärenmusik,8 - Grollen
343282,50802,50802-0.82-343282.mp3,Szene auf Straße mit vielen Menschen,8 - Grollen
74408,50802,50802-0.82-74408.mp3,Kleinkind in Auto,8 - Grollen
178925,50802,50802-0.83-178925.mp3,Verschiedene Szenen mit Menschen und Musik,8 - Grollen
240734,50802,50802-0.83-240734.mp3,Tiefe Männerstimme  erzählend mit viel Hall,8 - Grollen
71153,50802,50802-0.83-71153.mp3,Stuhl über Boden gezogen bearbeitet,8 - Grollen
116831,50802,50802-0.84-116831.mp3,Synthetischer Klang -  ähnlich Raketenstart,8 - Grollen
